address|latitude|longtitude|name|country|phone|region
г.Майкоп, Хакурате, 654 |44.62423|40.05552|01023|RU|(8772) 53-46-05|Республика Адыгея
г.Майкоп, Батарейная, 385 А|44.57913|40.1366|01024|RU|(8772) 56-38-20|Республика Адыгея
г.Майкоп, Келермесское ш., 5|44.62882|40.11182|01025|RU|(8772) 53-98-80|Республика Адыгея
г.Майкоп, Хакурате,194|44.61678|40.11558|01026|RU|(8772) 54-88-75|Республика Адыгея
г.Майкоп, ул.Шоссейная, квартал 407|44.5678|40.13962|01027|RU|(8772) 54-00-61|Республика Адыгея
с. Красногвардейское, ул. Фестивальная, 3|45.14407|39.60295|01028|RU|(87778) 5-21-54|Республика Адыгея
ст. Дондуковская, Желзнодорожная, 18, Гиагинский р-н|44.9034|40.3543|01030|RU|8 (918) 092-28-79|Республика Адыгея
ст. Кужорская на трассе Майкоп-Лабинск|44.64818|40.2921|01031|RU|8 (918) 247-94-88|Республика Адыгея
п. Каменномостский, ул. Мира, 1|44.3025|40.18855|01032|RU|(87777) 5-31-41|Республика Адыгея
а.Кошехабль, ул.Дружбы народов, 84, Кошехабльский р-н|44.90218|40.47625|01033|RU|8 (918) 092-33-98|Республика Адыгея
1353 км трассы Москва-Новороссийск, участок Краснодар-Джубга, справа, г.Адыгейск, 16 км от поворота на г.Краснодар|44.89548|39.16577|01034|RU|(861) 240-80-98|Республика Адыгея
п.Энем на трассе Краснодар-Новороссийск , справа при движении от г.Новороссийск|44.90862|38.8825|01035|RU|(861)-240-80-82|Республика Адыгея
п. Энем на трассе Краснодар - Новороссийск |44.94992|38.92487|01109|RU|(861) 240-90-07|Республика Адыгея
п. Яблоновский, Тургеневское шоссе 32, трасса Краснодар Новороссийск, слева напротив, торгового центра Мега|45.00765|38.93187|01155|RU|8 (861) 240-80-99|Республика Адыгея
Теучежский район, А/М Дон, справа км 1347-450м|44.94397|39.12667|01159|RU|89882454086|Республика Адыгея
г. Майкоп, ул. Подлесная,25|44.58963|40.09867|01183|RU|(8772)521815|Республика Адыгея
Теучежский район, с. Красная, вдоль а/д «Энем-Адыгейск-Бжедугхабль» км 54+00 (справа)|44.8749|39.452|01190|RU|89882454367|Республика Адыгея
а/д Майкоп - Усть-Лабинск, км 53 + 120, слева, аул Бжедугхабль|44.981465|39.717984|01199|RU|8 (988) 381-50-88|Республика Адыгея
ст. Ханская, а/д Белореченск-Майкоп, справа при въезде со стороны Белореченска|44.69379|39.94462|01207|RU|8 (988) 381-50-70|Республика Адыгея
Тахтамукайский районн, Автотрасса А-146 1-3 км. Справа|44.947908|39.033946|01263|RU|8 (989) 858-67-02|Республика Адыгея
Тахтамукайский районн, a. Новая Адыгея, ул. Тургеневское шоссе 1/3|45.02735|38.94479|01266|RU|8 (87771) 4-69-13|Республика Адыгея
с. Уптино, 1448 км трассы М5|54.656971|55.697422|02003 АЗС 3|RU|8-901-811-30-16|Республика Башкортостан
д. Березовка, ул. Аэропорт, 1/4|54.567136|55.887933|02004 АЗС 4|RU|(347)279-50-69|Республика Башкортостан
г. Уфа, ул. С.Перовской, 30|54.698926|55.984407|02005 АЗС 5|RU|(347) 289-55-59|Республика Башкортостан
г. Октябрьский, пр. Ленина, 3а (29 микрорайон)|54.482061|53.507675|02006 АЗС 6|RU|(34767)  4-02-92|Республика Башкортостан
п. Верхнеяркеево, ул. Бакалинская, 6|55.439112|54.301589|02007 АЗС 7|RU|(34762) 5-11-23|Республика Башкортостан
г. Белебей, 1316 км трассы М5, пер. Туймазы-Белебей|54.485791|53.900706|02008 АЗС 8|RU|8-901-811-83-98|Республика Башкортостан
д. Тюменяк, ул. Клубная, 2/1|54.683635|53.790832|02010 АЗС 10|RU|(347 82) 3-33-81|Республика Башкортостан
г. Уфа, пр. Октября, 1|54.739865|55.984005|02012 АЗС 12|RU|(347) 223-14-87|Республика Башкортостан
г. Уфа, ул. Донского, 8|54.825019|56.096454|02013 АЗС 13|RU|(347) 2 64-52-27|Республика Башкортостан
г. Мелеуз, ул. Береговая, 28|52.96326058|55.950231|02016 АЗС 16|RU|(34764) 4-08-30|Республика Башкортостан
п. Дюртюли, ул. Садовая, 4|55.497479204|54.85497235|02017 АЗС 17|RU|(34717)  3-20-50|Республика Башкортостан
г. Туймазы, ул. Салавата Юлаева, 2|54.615423|53.689622|02018 АЗС 18|RU|(34782)  7-69-74|Республика Башкортостан
п. Зирган, ул. Революционеров, 147-149|53.23178679|55.91041088|02019 АЗС 19|RU|(34764) 6-13-00|Республика Башкортостан
г. Нефтекамск, ул. Энергетиков, 2|56.102853|54.24154|02020 АЗС 20|RU|(34783)  5-60-67 |Республика Башкортостан
п. Витаминный, ул. Энергетиков, 2|55.283802|58.118528|02021 АЗС 21|RU|(34777) 2-84-69|Республика Башкортостан
п. Кушнаренково, ул. Большевистская, 61.|55.1009168855|55.332593813|02022 АЗС 22|RU|(34780)5-81-97|Республика Башкортостан
г. Туймазы, ул. Гафурова, 41|54.598687|53.730693|02023 АЗС 23|RU|(34782) 2-41-40|Республика Башкортостан
г. Белебей, шоссе Нефтяников, 5|54.112898|54.073247|02024 АЗС 24|RU|(34786) 4-07-05|Республика Башкортостан
г. Уфа, 30 км трассы Уфа-Бирск|54.936616|56.080302|02025 АЗС 25|RU|(347)274-42-96|Республика Башкортостан
г. Нефтекамск, ул. Карла Маркса, 13|56.080382|54.238791|02027 АЗС 27|RU|(34783) 4-72-77 |Республика Башкортостан
Пос. Биладжари, шоссе Баку-Сумгаит|40.433521|49.784396|AZS 4А|AZ|-|Баку
г. Стерлитамак, ул. Профсоюзная, 26|53.649679|55.9795|02030 АЗС 30|RU|(3473) 28-19-58|Республика Башкортостан
п. Улу-Теляк, 1548 км трассы М6 (Иглинский р-н)|54.854221|57.130257|02031 АЗС 31|RU|8-917-752-60-08|Республика Башкортостан
с. Бакалы, ул. Мостовая, 12|55.17360867|53.80947946|02032 АЗС 32|RU|(34742)  2-26-46|Республика Башкортостан
г. Уфа, ул. Правды|54.703951|55.847105|02033 АЗС 33|RU|(347)281-37-85|Республика Башкортостан
г. Белебей, 1350 км трассы М5 Москва-Самара-Уфа-Челябинск|54.588101|54.268204|02035 АЗС 35|RU|08 (347) 5035|Республика Башкортостан
п. Красноусольский, 3-й км Красноусольск-Табынск|53.9331|56.419901|02041 АЗС 41|RU|8-901-811-83-68|Республика Башкортостан
п. Удельных Дуваней, на въезде|55.176743|55.853284|02042 АЗС 42|RU|8-901-811-83-95|Республика Башкортостан
г. Стерлитамак, ул. Салтыкова-Щедрина, 2в|53.622062|55.932695|02050 АЗС 50|RU|(34782)2-50-70|Республика Башкортостан
с. Верхние  Татышлы, ул. Центральная, 51|56.291630346|55.832812373|02051 АЗС 51|RU|8-927-33-555-25|Республика Башкортостан
г. Стерлитамак, Уфимский тракт, 8|53.68539368|55.949297804|02057 АЗС 57-У|RU|(34723) 21-56-73|Республика Башкортостан
г. Стерлитамак, ул. 23 Мая, 155а|53.61627548|55.93199761|02058 АЗС 58-У|RU|(34723) 25-23-74|Республика Башкортостан
г. Салават, ул. Чапаева, 42|53.379533|55.937426|02069 АЗС 69|RU|8-901-811-84-29|Республика Башкортостан
п. Алаторка, 1499 км трассы М5|54.762175|56.395246|02073 АЗС а02073|RU|8-901-812-044-7|Республика Башкортостан
г. Стерлитамак, ул. Техничникова, 2|53.66257546|55.95002174|02074 АЗС 74-У|RU|(3473) 43-65-16|Республика Башкортостан
г. Нефтекамск, ул. Автозаводская, 26|56.106744|54.305773|02082 АЗС а0282-У|RU|8-901-812-82-86|Республика Башкортостан
г. Стерлитамак, Стерлибашевский тракт, 30|53.601095536|55.930621325|02083 АЗС 83-У|RU|(347 3) 26-99-72|Республика Башкортостан
г. Учалы, на въезде|54.32963989|59.36661844|02084 АЗС 84-У|RU|(34791) 6-69-39|Республика Башкортостан
